Router Id	Incoming Port	Incoming vcid	outgoing port	outgoing vcid

0		-1		-1		1		103
0		2		116		3		117
0		2		125		-1		-1
0		2		128		3		129
0		1		134		3		135
0		3		143		-1		-1
0		-1		-1		2		153
0		-1		-1		3		156
0		2		170		-1		-1
0		1		193		-1		-1
0		1		196		-1		-1


1		-1		-1		0		112
1		1		115		2		116
1		0		123		-1		-1
1		1		124		2		125
1		-1		-1		2		128
1		2		153		-1		-1
1		1		163		0		164
1		1		169		2		170
1		0		171		1		172
1		1		182		0		183
1		-1		-1		1		187
1		0		190		-1		-1
1		-1		-1		0		192


2		0		103		1		104
2		2		112		1		113
2		-1		-1		1		118
2		1		122		2		123
2		-1		-1		0		134
2		2		164		-1		-1
2		-1		-1		2		171
2		2		183		-1		-1
2		-1		-1		2		190
2		2		192		0		193
2		-1		-1		0		196


3		0		108		1		109
3		2		117		-1		-1
3		2		129		1		130
3		2		135		0		136
3		1		138		0		139
3		-1		-1		2		143
3		0		149		-1		-1
3		2		156		0		157
3		0		166		-1		-1
3		-1		-1		0		194
3		-1		-1		0		197


4		-1		-1		0		100
4		1		107		2		108
4		0		119		-1		-1
4		2		136		-1		-1
4		2		139		1		140
4		-1		-1		1		142
4		0		145		1		146
4		1		148		2		149
4		2		157		-1		-1
4		1		161		-1		-1
4		1		165		2		166
4		1		186		-1		-1
4		2		194		1		195
4		2		197		-1		-1


5		0		100		-1		-1
5		1		104		2		105
5		1		113		2		114
5		1		118		0		119
5		2		121		1		122
5		3		144		0		145
5		2		159		-1		-1
5		3		168		-1		-1
5		3		177		-1		-1
5		-1		-1		3		191


6		0		102		-1		-1
6		-1		-1		1		107
6		1		140		-1		-1
6		1		142		-1		-1
6		1		146		-1		-1
6		0		147		1		148
6		0		160		1		161
6		-1		-1		0		162
6		-1		-1		1		165
6		-1		-1		0		181
6		-1		-1		1		186
6		0		188		-1		-1
6		1		195		-1		-1


7		0		101		1		102
7		-1		-1		2		115
7		-1		-1		2		124
7		-1		-1		1		147
7		-1		-1		1		160
7		1		162		2		163
7		-1		-1		2		169
7		2		172		0		173
7		1		181		2		182
7		2		187		1		188


8		0		109		1		110
8		0		130		2		131
8		2		132		1		133
8		1		137		0		138
8		1		141		-1		-1
8		2		151		1		152
8		1		155		-1		-1
8		-1		-1		1		178


9		-1		-1		0		101
9		-1		-1		1		111
9		1		126		2		127
9		-1		-1		2		154
9		-1		-1		1		167
9		0		173		2		174
9		2		175		1		176
9		-1		-1		1		189


10		0		111		-1		-1
10		-1		-1		0		126
10		-1		-1		1		144
10		0		167		1		168
10		0		176		1		177
10		0		189		-1		-1
10		1		191		-1		-1


11		0		110		-1		-1
11		1		127		-1		-1
11		0		133		-1		-1
11		-1		-1		0		137
11		-1		-1		0		141
11		0		152		-1		-1
11		1		154		0		155
11		1		174		-1		-1
11		-1		-1		1		175
11		0		178		2		179
11		2		185		-1		-1


12		0		105		1		106
12		0		114		-1		-1
12		1		120		0		121
12		-1		-1		1		150
12		1		158		0		159
12		2		179		1		180
12		1		184		2		185


13		0		106		-1		-1
13		-1		-1		0		120
13		1		131		-1		-1
13		-1		-1		1		132
13		0		150		1		151
13		-1		-1		0		158
13		0		180		-1		-1
13		-1		-1		0		184


